Date,Player,Score
2024-05-14 21:51:51,eva,97
2024-05-14 21:49:42,Sof�a,91
2024-05-14 21:54:36,Sof�a,68
2024-05-14 21:14:09,Fer,61
2024-05-14 21:47:22,Sof�a,55
2024-05-16 20:50:09,Player 2,55
2024-05-16 21:39:46,Player 2,53
2024-05-16 21:21:48,Player 1,51
2024-05-14 21:53:00,dsgdsh,33
2024-05-14 21:41:41,fer,31
2024-05-14 20:46:50,Sof,28
2024-05-14 21:15:27,Fer,26
2024-05-14 21:44:02,Sof�a,25
2024-05-14 21:48:05,Player 1,25
2024-05-14 20:45:30,Juancho,18
2024-05-14 21:45:22,Player 1,18
2024-05-14 21:44:50,Player 1,14
2024-05-17 13:33:18,Player 2,14
2024-05-14 19:07:40,Player 1,13
2024-05-14 19:11:38,Player 1,13
